Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,,Opposition,Ground,Start Date,
CR Woakes,9.5,2,42,3,4.27,14.00,19.6,,ODI v Pakistan,Lord's,27 Aug 2016,ODI # 3771
CR Woakes,5.4,1,41,4,7.23,10.25,8.5,,ODI v Pakistan,Nottingham,30 Aug 2016,ODI # 3773
CR Woakes,7.0,0,47,1,6.71,47.00,42.0,,ODI v Pakistan,Cardiff,4 Sep 2016,ODI # 3777
CR Woakes,7.0,1,38,0,5.42,-,-,,ODI v Bangladesh,Mirpur,7 Oct 2016,ODI # 3791
CR Woakes,9.0,0,40,2,4.44,20.00,27.0,,ODI v Bangladesh,Mirpur,9 Oct 2016,ODI # 3793
CR Woakes,8.0,0,66,0,8.25,-,-,,ODI v Bangladesh,Chattogram,12 Oct 2016,ODI # 3794
CR Woakes,14.0,5,25,0,1.78,-,-,,Test v Bangladesh,Chattogram,20 Oct 2016,Test # 2225
CR Woakes,11.0,3,44,3,4.00,14.66,22.0,,Test v Bangladesh,Mirpur,28 Oct 2016,Test # 2227
CR Woakes,35.0,7,63,1,1.80,63.00,210.0,,Test v India,Rajkot,9 Nov 2016,Test # 2232
CR Woakes,26.0,7,102,1,3.92,102.00,156.0,,Test v India,Mohali,26 Nov 2016,Test # 2238
CR Woakes,16.0,2,79,1,4.93,79.00,96.0,,Test v India,Wankhede,8 Dec 2016,Test # 2239
CR Woakes,8.0,0,44,0,5.50,-,-,,ODI v India,Pune,15 Jan 2017,ODI # 3819
CR Woakes,10.0,3,60,4,6.00,15.00,15.0,,ODI v India,Cuttack,19 Jan 2017,ODI # 3821
CR Woakes,10.0,0,75,2,7.50,37.50,30.0,,ODI v India,Eden Gardens,22 Jan 2017,ODI # 3824
CR Woakes,9.0,1,47,4,5.22,11.75,13.5,,ODI v West Indies,North Sound,3 Mar 2017,ODI # 3845
CR Woakes,8.0,1,26,0,3.25,-,-,,ODI v West Indies,North Sound,5 Mar 2017,ODI # 3848
CR Woakes,8.0,1,16,3,2.00,5.33,16.0,,ODI v West Indies,Bridgetown,9 Mar 2017,ODI # 3849
CR Woakes,8.0,0,38,4,4.75,9.50,12.0,,ODI v South Africa,Leeds,24 May 2017,ODI # 3872
CR Woakes,2.0,1,4,0,2.00,-,-,,ODI v Bangladesh,The Oval,1 Jun 2017,ODI # 3875
CR Woakes,33.2,6,122,2,3.66,61.00,100.0,,Test v West Indies,Leeds,25 Aug 2017,Test # 2271
CR Woakes,8.0,0,41,2,5.12,20.50,24.0,,ODI v West Indies,Manchester,19 Sep 2017,ODI # 3911
CR Woakes,-,-,-,-,-,-,-,,ODI v West Indies,Nottingham,21 Sep 2017,ODI # 3913
CR Woakes,7.0,1,32,0,4.57,-,-,,ODI v West Indies,Bristol,24 Sep 2017,ODI # 3915
CR Woakes,10.0,0,71,3,7.10,23.66,20.0,,ODI v West Indies,The Oval,27 Sep 2017,ODI # 3916
CR Woakes,35.0,6,113,1,3.22,113.00,210.0,,Test v Australia,Brisbane,23 Nov 2017,Test # 2282
CR Woakes,43.0,7,120,5,2.79,24.00,51.6,,Test v Australia,Adelaide,2 Dec 2017,Test # 2285
CR Woakes,41.0,8,128,1,3.12,128.00,246.0,,Test v Australia,Perth,14 Dec 2017,Test # 2288
CR Woakes,48.0,11,134,3,2.79,44.66,96.0,,Test v Australia,Melbourne,26 Dec 2017,Test # 2289
CR Woakes,10.0,0,65,1,6.50,65.00,60.0,,ODI v Australia,Melbourne,14 Jan 2018,ODI # 3951
CR Woakes,9.0,0,37,1,4.11,37.00,54.0,,ODI v Australia,Brisbane,19 Jan 2018,ODI # 3958
CR Woakes,10.0,0,57,2,5.70,28.50,30.0,,ODI v Australia,Sydney,21 Jan 2018,ODI # 3960
