Player,Bat1,Bat2,Runs,BF,SR,4s,6s,,Opposition,Ground,Start Date,temp,humidity,windspeed
Combined Test,59*,-,59,44,134.09,1,3,,T20I v Hong Kong,Dubai (DSC),31 Aug 2022,N/A,N/A,N/A
Combined Test,60,-,60,44,136.36,4,1,,T20I v Pakistan,Dubai (DSC),4 Sep 2022,N/A,N/A,N/A
Combined Test,0,-,0,4,0.00,0,0,,T20I v Sri Lanka,Dubai (DSC),6 Sep 2022,N/A,N/A,N/A
Combined Test,122*,-,122,61,200.00,12,6,,T20I v Afghanistan,Dubai (DSC),8 Sep 2022,N/A,N/A,N/A
Combined Test,2,-,2,7,28.57,0,0,,T20I v Australia,Mohali,20 Sep 2022,82.2,69.1,6.7
Combined Test,11,-,11,6,183.33,2,0,,T20I v Australia,Nagpur,23 Sep 2022,79.2,87.4,12.8
Combined Test,63,-,63,48,131.25,3,4,,T20I v Australia,Hyderabad,25 Sep 2022,78.1,78.6,9.7
Combined Test,3,-,3,9,33.33,0,0,,T20I v South Africa,Thiruvananthapuram,28 Sep 2022,82.8,75.0,11.4
Combined Test,49*,-,49,28,175.00,7,1,,T20I v South Africa,Guwahati,2 Oct 2022,84.5,87.8,4.6
Combined Test,82*,-,82,53,154.71,6,4,,T20I v Pakistan,Melbourne,23 Oct 2022,60.9,79.8,11.5
Combined Test,62*,-,62,44,140.90,3,2,,T20I v Netherlands,Sydney,27 Oct 2022,70.6,57.3,13.7
Combined Test,12,-,12,11,109.09,2,0,,T20I v South Africa,Perth,30 Oct 2022,55.6,61.3,16.6
Combined Test,64*,-,64,44,145.45,8,1,,T20I v Bangladesh,Adelaide,2 Nov 2022,53.0,73.0,17.8
Combined Test,26,-,26,25,104.00,2,0,,T20I v Zimbabwe,Melbourne,6 Nov 2022,66.7,62.3,9.3
Combined Test,50,-,50,40,125.00,4,1,,T20I v England,Adelaide,10 Nov 2022,63.7,82.7,12.5
Combined Test,9,-,9,15,60.00,1,0,,ODI v Bangladesh,Mirpur,4 Dec 2022,70.1,57.1,8.1
Combined Test,5,-,5,6,83.33,1,0,,ODI v Bangladesh,Mirpur,7 Dec 2022,68.5,54.2,8.3
Combined Test,113,-,113,91,124.17,11,2,,ODI v Bangladesh,Chattogram,10 Dec 2022,69.3,72.3,4.9
Combined Test,1,19*,20,34,58.82,0,0,,Test v Bangladesh,Chattogram,14 Dec 2022,68.5,74.7,6.3
Combined Test,24,1,25,95,26.31,3,0,,Test v Bangladesh,Mirpur,22 Dec 2022,67.5,57.3,6.9
Combined Test,113,-,113,87,129.88,12,1,,ODI v Sri Lanka,Guwahati,10 Jan 2023,66.3,77.6,4.7
Combined Test,4,-,4,9,44.44,1,0,,ODI v Sri Lanka,Eden Gardens,12 Jan 2023,79.9,70.1,5.8
Combined Test,166*,-,166,110,150.90,13,8,,ODI v Sri Lanka,Thiruvananthapuram,15 Jan 2023,81.1,71.5,5.8
Combined Test,8,-,8,10,80.00,1,0,,ODI v New Zealand,Hyderabad,18 Jan 2023,73.0,58.9,10.0
Combined Test,11,-,11,9,122.22,2,0,,ODI v New Zealand,Raipur,21 Jan 2023,73.8,57.0,5.6
Combined Test,36,-,36,27,133.33,3,1,,ODI v New Zealand,Indore,24 Jan 2023,65.8,66.6,8.1
Combined Test,12,-,12,26,46.15,2,0,,Test v Australia,Nagpur,9 Feb 2023,71.6,46.1,4.7
Combined Test,44,20,64,115,55.65,7,0,,Test v Australia,Delhi,17 Feb 2023,70.0,72.5,6.3
Combined Test,22,13,35,78,44.87,4,0,,Test v Australia,Indore,1 Mar 2023,78.1,34.3,6.9
Combined Test,186,-,186,364,51.09,15,0,,Test v Australia,Ahmedabad,9 Mar 2023,80.0,35.0,6.9
Combined Test,4,-,4,9,44.44,1,0,,ODI v Australia,Wankhede,17 Mar 2023,N/A,N/A,N/A
Combined Test,31,-,31,35,88.57,4,0,,ODI v Australia,Visakhapatnam,19 Mar 2023,75.0,81.6,10.3
Combined Test,54,-,54,72,75.00,2,1,,ODI v Australia,Chennai,22 Mar 2023,85.8,80.3,14.2
Combined Test,14,49,63,109,57.79,9,0,,Test v Australia,The Oval,7 Jun 2023,52.2,87.7,6.7
Combined Test,76,-,76,182,41.75,5,0,,Test v West Indies,Roseau,12 Jul 2023,79.4,75.7,31.5
Combined Test,121,DNB,121,206,58.73,11,0,,Test v West Indies,Port of Spain,20 Jul 2023,82.0,84.4,12.8
Combined Test,DNB,-,-,-,-,-,-,,ODI v West Indies,Bridgetown,27 Jul 2023,83.1,83.1,20.8
Combined Test,4,-,4,7,57.14,1,0,,ODI v Pakistan,Pallekele,2 Sep 2023,80.7,86.5,17.2
Combined Test,DNB,-,-,-,-,-,-,,ODI v Nepal,Pallekele,4 Sep 2023,80.8,85.6,16.1
Combined Test,122*,-,122,94,129.78,9,3,,ODI v Pakistan,Colombo (RPS),10 Sep 2023,64.8,86.2,11.6
Combined Test,3,-,3,12,25.00,0,0,,ODI v Sri Lanka,Colombo (RPS),12 Sep 2023,64.0,84.5,15.7
Combined Test,DNB,-,-,-,-,-,-,,ODI v Sri Lanka,Colombo (RPS),17 Sep 2023,75.2,53.6,11.7
Combined Test,56,-,56,61,91.80,5,1,,ODI v Australia,Rajkot,27 Sep 2023,85.0,66.8,10.5
Combined Test,85,-,85,116,73.27,6,0,,ODI v Australia,Chennai,8 Oct 2023,84.8,86.2,8.7
Combined Test,55*,-,55,56,98.21,6,0,,ODI v Afghanistan,Delhi,11 Oct 2023,82.3,55.8,10.3
Combined Test,16,-,16,18,88.88,3,0,,ODI v Pakistan,Ahmedabad,14 Oct 2023,85.6,59.2,4.7
Combined Test,103*,-,103,97,106.18,6,4,,ODI v Bangladesh,Pune,19 Oct 2023,79.6,62.4,7.4
Combined Test,95,-,95,104,91.34,8,2,,ODI v New Zealand,Dharamsala,22 Oct 2023,74.4,74.2,6.9
Combined Test,0,-,0,9,0.00,0,0,,ODI v England,Lucknow,29 Oct 2023,75.3,61.4,8.1
Combined Test,88,-,88,94,93.61,11,0,,ODI v Sri Lanka,Wankhede,2 Nov 2023,N/A,N/A,N/A
Combined Test,DNB,-,-,-,-,-,-,,ODI v South Africa,Eden Gardens,5 Nov 2023,81.0,83.3,8.1
