Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Ground,Start Date,temp,humidity,windspeed,conditions,format,opposition
R Ashwin,36.5,9,83,4,2.25,20.75,55.2,Dharamsala,25 Mar 2017,84.5,54.4,16.1,Clear,Test,Australia
R Ashwin,9,0,43,1,4.77,43,54,The Oval,11 Jun 2017,59.5,33.4,13.6,Partially cloudy,ODI,South Africa
R Ashwin,10,0,54,0,5.4,-,-,Birmingham,15 Jun 2017,62.4,68.2,13.7,Partially cloudy,ODI,Bangladesh
R Ashwin,10,0,70,0,7,-,-,The Oval,18 Jun 2017,58.6,67.7,12.5,Clear,ODI,Pakistan
R Ashwin,-,-,-,-,-,-,-,Port of Spain,23 Jun 2017,77.4,91.4,16.1,"Rain, Partially cloudy",ODI,West Indies
R Ashwin,9,0,47,1,5.22,47,54,Port of Spain,25 Jun 2017,79.5,89.2,18.3,"Rain, Partially cloudy",ODI,West Indies
R Ashwin,10,1,28,3,2.8,9.33,20,North Sound,30 Jun 2017,79.7,76.3,14.6,Rain,ODI,West Indies
R Ashwin,4,0,39,0,9.75,-,-,Kingston,9 Jul 2017,85.4,70.9,26.4,Partially cloudy,T20I,West Indies
R Ashwin,54,9,149,4,2.75,37.25,81,Galle,26 Jul 2017,60,93.6,14.5,"Rain, Partially cloudy",Test,Sri Lanka
R Ashwin,54.3,10,201,7,3.68,28.71,46.7,Colombo (SSC),3 Aug 2017,N/A,N/A,N/A,N/A,Test,Sri Lanka
